out2020-01-31_13-32-23_part00,N,Unnamed: 2,Unnamed: 3
out2020-01-31_13-32-23_part01,N,,
out2020-01-31_13-32-23_part02,Y,24.0,28.0
out2020-01-31_13-32-23_part03,N,,
out2020-01-31_13-32-23_part04,N,,
out2020-01-31_13-32-23_part05,N,,
out2020-01-31_13-32-23_part06,N,,
out2020-01-31_13-32-23_part07,Y,21.0,24.0
out2020-01-31_13-32-23_part08,N,,
out2020-01-31_13-32-23_part09,Y,17.0,21.0
out2020-01-31_13-32-23_part10,N,,
out2020-01-31_13-32-23_part11,N,,
out2020-01-31_13-32-23_part12,N,,
out2020-01-31_13-32-23_part13,N,,
out2020-01-31_13-32-23_part14,Y,29.0,30.0
out2020-01-31_13-32-23_part15,Y,1.0,1.0
out2020-01-31_13-32-23_part16,N,,
out2020-01-31_13-32-23_part17,N,,
out2020-01-31_13-32-23_part18,N,,
out2020-01-31_13-32-23_part19,N,,
out2020-01-31_13-32-23_part20,N,,
out2020-01-31_13-32-23_part21,N,,
out2020-01-31_13-32-23_part22,N,,
out2020-01-31_13-32-23_part23,N,,
out2020-01-31_13-32-23_part24,N,,
out2020-01-31_13-32-23_part25,N,,
out2020-01-31_13-32-23_part26,N,,
out2020-01-31_13-32-23_part27,N,,
out2020-01-31_13-32-23_part28,N,,
out2020-01-31_13-32-23_part29,N,,
out2020-01-31_13-32-23_part30,N,,
out2020-01-31_13-32-23_part31,Y,18.0,21.0
out2020-01-31_13-32-23_part32,N,,
out2020-01-31_13-32-23_part33,N,,
out2020-01-31_13-32-23_part34,N,,
out2020-01-31_13-32-23_part35,N,,
out2020-01-31_13-32-23_part36,N,,
out2020-01-31_13-32-23_part37,N,,
out2020-01-31_13-32-23_part38,N,,
out2020-01-31_13-32-23_part39,N,,
,,,
,6,,
