out2020-02-06_15-11-15_part00,N,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
out2020-02-06_15-11-15_part01,N,,,,
out2020-02-06_15-11-15_part02,N,,,,
out2020-02-06_15-11-15_part03,N,,,,
out2020-02-06_15-11-15_part04,N,,,,
out2020-02-06_15-11-15_part05,N,,,,
out2020-02-06_15-11-15_part06,N,,,,
out2020-02-06_15-11-15_part07,N,,,,
out2020-02-06_15-11-15_part08,N,,,,
out2020-02-06_15-11-15_part09,N,,,,
out2020-02-06_15-11-15_part10,Y,9.0,14.0,,
out2020-02-06_15-11-15_part11,N,,,,
out2020-02-06_15-11-15_part12,N,,,,
out2020-02-06_15-11-15_part13,N,,,,
out2020-02-06_15-11-15_part14,N,,,,
out2020-02-06_15-11-15_part15,N,,,,
out2020-02-06_15-11-15_part16,N,,,,
out2020-02-06_15-11-15_part17,Y,25.0,30.0,,
out2020-02-06_15-11-15_part18,Y,1.0,2.0,,
out2020-02-06_15-11-15_part19,N,,,,
out2020-02-06_15-11-15_part20,N,,,,
out2020-02-06_15-11-15_part21,N,,,,
out2020-02-06_15-11-15_part22,N,,,,
out2020-02-06_15-11-15_part23,N,,,,
out2020-02-06_15-11-15_part24,N,,,,
out2020-02-06_15-11-15_part25,N,,,,
out2020-02-06_15-11-15_part26,Y,23.0,25.0,,
out2020-02-06_15-11-15_part27,Y,20.0,22.0,,
out2020-02-06_15-11-15_part28,N,,,,
out2020-02-06_15-11-15_part29,N,,,,
out2020-02-06_15-11-15_part30,Y,14.0,16.0,,
out2020-02-06_15-11-15_part31,N,,,,
out2020-02-06_15-11-15_part32,Y,18.0,20.0,,
out2020-02-06_15-11-15_part33,N,,,,
out2020-02-06_15-11-15_part34,Y,6.0,8.0,26.0,30.0
out2020-02-06_15-11-15_part35,Y,20.0,22.0,,
out2020-02-06_15-11-15_part36,Y,15.0,18.0,,
out2020-02-06_15-11-15_part37,N,,,,
out2020-02-06_15-11-15_part38,N,,,,
out2020-02-06_15-11-15_part39,N,,,,
,,,,,
,10,,,,
