out2020-02-07_14-52-17_part00,N,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
out2020-02-07_14-52-17_part01,N,,,,,,
out2020-02-07_14-52-17_part02,N,,,,,,
out2020-02-07_14-52-17_part03,N,,,,,,
out2020-02-07_14-52-17_part04,N,,,,,,
out2020-02-07_14-52-17_part05,N,,,,,,
out2020-02-07_14-52-17_part06,N,,,,,,
out2020-02-07_14-52-17_part07,N,,,,,,
out2020-02-07_14-52-17_part08,N,,,,,,
out2020-02-07_14-52-17_part09,N,,,,,,
out2020-02-07_14-52-17_part10,Y,12.0,18.0,,,,
out2020-02-07_14-52-17_part11,N,,,,,,
out2020-02-07_14-52-17_part12,N,,,,,,
out2020-02-07_14-52-17_part13,Y,28.0,30.0,,,,
out2020-02-07_14-52-17_part14,Y,1.0,6.0,9.0,12.0,26.0,30.0
out2020-02-07_14-52-17_part15,Y,1.0,7.0,,,,
out2020-02-07_14-52-17_part16,Y,6.0,12.0,,,,
out2020-02-07_14-52-17_part17,Y,11.0,16.0,,,,
out2020-02-07_14-52-17_part18,Y,3.0,6.0,14.0,20.0,,
out2020-02-07_14-52-17_part19,N,,,,,,
out2020-02-07_14-52-17_part20,Y,8.0,12.0,,,,
out2020-02-07_14-52-17_part21,Y,16.0,19.0,,,,
out2020-02-07_14-52-17_part22,N,,,,,,
out2020-02-07_14-52-17_part23,Y,5.0,23.0,,,,
out2020-02-07_14-52-17_part24,Y,12.0,20.0,,,,
out2020-02-07_14-52-17_part25,Y,2.0,7.0,19.0,23.0,27.0,30.0
out2020-02-07_14-52-17_part26,Y,1.0,1.0,20.0,25.0,,
out2020-02-07_14-52-17_part27,Y,15.0,23.0,,,,
out2020-02-07_14-52-17_part28,Y,13.0,30.0,,,,
out2020-02-07_14-52-17_part29,Y,5.0,10.0,14.0,18.0,20.0,30.0
out2020-02-07_14-52-17_part30,Y,1.0,1.0,20.0,30.0,,
out2020-02-07_14-52-17_part31,Y,1.0,13.0,,,,
out2020-02-07_14-52-17_part32,N,,,,,,
out2020-02-07_14-52-17_part33,Y,28.0,30.0,,,,
out2020-02-07_14-52-17_part34,Y,1.0,1.0,,,,
out2020-02-07_14-52-17_part35,N,,,,,,
out2020-02-07_14-52-17_part36,N,,,,,,
out2020-02-07_14-52-17_part37,Y,11.0,15.0,,,,
out2020-02-07_14-52-17_part38,N,,,,,,
out2020-02-07_14-52-17_part39,Y,7.0,10.0,,,,
,,,,,,,
,22,,,,,,
