out2020-02-06_14-39-28_part00,N,Unnamed: 2,Unnamed: 3
out2020-02-06_14-39-28_part01,Y,14.0,17.0
out2020-02-06_14-39-28_part02,N,,
out2020-02-06_14-39-28_part03,N,,
out2020-02-06_14-39-28_part04,N,,
out2020-02-06_14-39-28_part05,N,,
out2020-02-06_14-39-28_part06,N,,
out2020-02-06_14-39-28_part07,N,,
out2020-02-06_14-39-28_part08,N,,
out2020-02-06_14-39-28_part09,N,,
out2020-02-06_14-39-28_part10,N,,
out2020-02-06_14-39-28_part11,N,,
out2020-02-06_14-39-28_part12,N,,
out2020-02-06_14-39-28_part13,N,,
out2020-02-06_14-39-28_part14,N,,
out2020-02-06_14-39-28_part15,N,,
out2020-02-06_14-39-28_part16,N,,
out2020-02-06_14-39-28_part17,N,,
out2020-02-06_14-39-28_part18,N,,
out2020-02-06_14-39-28_part19,N,,
out2020-02-06_14-39-28_part20,N,,
out2020-02-06_14-39-28_part21,N,,
out2020-02-06_14-39-28_part22,N,,
out2020-02-06_14-39-28_part23,N,,
out2020-02-06_14-39-28_part24,N,,
out2020-02-06_14-39-28_part25,N,,
out2020-02-06_14-39-28_part26,N,,
out2020-02-06_14-39-28_part27,N,,
out2020-02-06_14-39-28_part28,N,,
out2020-02-06_14-39-28_part29,N,,
out2020-02-06_14-39-28_part30,N,,
out2020-02-06_14-39-28_part31,N,,
out2020-02-06_14-39-28_part32,N,,
out2020-02-06_14-39-28_part33,N,,
out2020-02-06_14-39-28_part34,N,,
out2020-02-06_14-39-28_part35,N,,
out2020-02-06_14-39-28_part36,N,,
out2020-02-06_14-39-28_part37,N,,
out2020-02-06_14-39-28_part38,N,,
out2020-02-06_14-39-28_part39,N,,
,,,
,1,,
